sample_id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
TR67469151,33,71500,MORTGAGE,12.0,MEDICAL,A,10000,5.73,0.14,N,8,0
TR83579943,23,42600,RENT,3.0,EDUCATION,B,8200,10.48,0.19,N,2,0
TR20340692,36,40200,RENT,1.0,MEDICAL,A,2600,7.07,0.06,N,12,0
TR18897207,22,62000,RENT,8.0,EDUCATION,D,4300,15.67,0.07,Y,3,0
TR26649671,28,116200,MORTGAGE,10.0,HOMEIMPROVEMENT,D,26000,15.54,0.22,N,11,0
TR49795788,24,45800,MORTGAGE,7.0,EDUCATION,B,1300,9.7,0.03,N,1,0
TR36480125,36,37900,RENT,1.0,MEDICAL,C,5200,13.28,0.14,Y,12,0
TR47099782,29,114700,RENT,3.0,EDUCATION,C,4900,13.54,0.04,Y,7,0
TR71543737,39,51500,MORTGAGE,5.0,VENTURE,A,11500,5.67,0.22,N,15,0
TR48512933,31,73100,MORTGAGE,1.0,HOMEIMPROVEMENT,B,12300,10.88,0.17,N,11,0
TR34413754,29,35600,RENT,4.0,EDUCATION,A,6100,5.35,0.17,N,5,0
TR68164579,25,45600,MORTGAGE,2.0,EDUCATION,A,7500,7.51,0.16,N,3,0
TR72960024,26,60600,MORTGAGE,2.0,VENTURE,A,8400,5.82,0.14,N,10,0
TR66214672,26,36300,RENT,5.0,EDUCATION,A,7200,5.32,0.2,N,10,0
TR75967731,26,51200,MORTGAGE,9.0,MEDICAL,B,8500,10.67,0.17,N,3,0
TR66189942,24,47200,RENT,2.0,EDUCATION,B,10400,10.27,0.22,N,1,0
TR11916893,41,52000,RENT,0.0,DEBTCONSOLIDATION,C,4000,14.14,0.08,Y,16,0
TR63802125,26,76300,RENT,3.0,MEDICAL,A,8800,7.05,0.12,N,5,0
TR32331734,38,87100,MORTGAGE,5.0,MEDICAL,A,6300,6.97,0.07,N,15,0
TR33718173,51,75900,RENT,10.0,DEBTCONSOLIDATION,B,12100,10.48,0.16,N,12,0
TR43878767,29,23500,RENT,3.0,PERSONAL,B,1500,10.2,0.06,N,5,0
TR23398847,39,67400,MORTGAGE,7.0,PERSONAL,A,12200,7.96,0.18,N,15,0
TR72206602,28,62600,MORTGAGE,6.0,DEBTCONSOLIDATION,B,2600,11.6,0.04,N,10,0
TR63388419,27,36300,RENT,11.0,EDUCATION,A,3800,7.45,0.1,N,11,0
TR21734335,27,43200,RENT,1.0,DEBTCONSOLIDATION,D,9500,14.84,0.22,Y,5,1
TR90388792,26,97300,MORTGAGE,5.0,VENTURE,A,23100,7.65,0.24,N,4,0
TR73839252,27,57900,RENT,2.0,EDUCATION,C,5900,13.67,0.1,N,4,1
TR47662894,27,85400,MORTGAGE,12.0,PERSONAL,B,7400,11.81,0.09,N,7,0
TR96937813,41,43700,RENT,4.0,PERSONAL,B,5900,11.12,0.14,N,14,0
TR10630965,29,67600,RENT,3.0,DEBTCONSOLIDATION,D,10400,14.34,0.15,Y,5,1
TR64666874,28,47400,RENT,11.0,VENTURE,D,5300,16.52,0.11,N,5,0
TR62215145,39,73000,MORTGAGE,7.0,PERSONAL,A,13500,7.75,0.18,N,17,0
TR58394990,23,66100,MORTGAGE,7.0,MEDICAL,A,4300,7.49,0.07,N,2,0
TR37457979,23,46100,RENT,3.0,VENTURE,A,1000,5.25,0.02,N,3,0
TR61563480,32,57900,RENT,5.0,VENTURE,B,9900,10.13,0.17,N,11,0
TR68172636,28,31200,RENT,4.0,EDUCATION,D,7700,15.23,0.25,N,5,0
TR51105802,22,51400,RENT,1.0,VENTURE,B,9400,10.75,0.18,N,5,0
TR79530266,25,63900,MORTGAGE,7.0,VENTURE,A,8500,7.96,0.13,N,1,0
TR12241953,30,43900,MORTGAGE,13.0,VENTURE,A,2900,5.97,0.07,N,5,0
TR88216551,32,64600,MORTGAGE,11.0,VENTURE,A,3700,5.33,0.06,N,6,0
TR47582061,34,33200,MORTGAGE,3.0,DEBTCONSOLIDATION,B,9400,10.01,0.28,N,6,0
TR59000912,25,134700,MORTGAGE,9.0,EDUCATION,A,10000,7.45,0.07,N,3,0
TR95801724,37,64500,OWN,5.0,VENTURE,A,5000,6.48,0.08,N,15,0
TR73976512,25,39500,RENT,3.0,EDUCATION,A,10400,7.68,0.26,N,3,0
TR74629377,33,151700,MORTGAGE,13.0,HOMEIMPROVEMENT,A,6700,7.41,0.04,N,6,0
TR99521729,23,62600,MORTGAGE,3.0,PERSONAL,C,15000,13.54,0.24,N,2,0
TR37515343,25,62500,RENT,2.0,HOMEIMPROVEMENT,A,10400,8.78,0.17,N,2,0
TR80195943,41,52500,MORTGAGE,2.0,HOMEIMPROVEMENT,A,3200,7.47,0.06,N,12,0
TR13347224,22,30600,RENT,2.0,PERSONAL,B,7400,11.58,0.24,N,3,0
TR16754393,31,69500,RENT,7.0,EDUCATION,A,10500,7.46,0.15,N,5,0
TR30733829,31,71300,MORTGAGE,17.0,VENTURE,A,10100,6.98,0.14,N,6,0
TR94158480,32,79800,RENT,6.0,HOMEIMPROVEMENT,C,14200,13.38,0.18,Y,11,0
TR26594239,30,25200,RENT,0.0,MEDICAL,A,10500,6.87,0.42,N,8,1
TR90832864,27,41600,RENT,2.0,PERSONAL,B,4000,11.61,0.1,N,2,0
TR14145631,34,275600,RENT,1.0,MEDICAL,A,14900,7.28,0.05,N,7,1
TR64891104,24,105300,MORTGAGE,6.0,PERSONAL,A,6300,7.11,0.06,N,3,0
TR62681764,39,51000,RENT,5.0,EDUCATION,C,9000,13.59,0.18,Y,13,0
TR67549449,37,31700,MORTGAGE,3.0,HOMEIMPROVEMENT,B,5100,10.41,0.16,N,16,0
TR69952450,30,78000,MORTGAGE,12.0,VENTURE,D,9100,15.03,0.12,Y,5,1
TR94540356,26,97900,MORTGAGE,9.0,PERSONAL,A,14400,6.83,0.15,N,5,0
TR41675006,31,68600,MORTGAGE,3.0,HOMEIMPROVEMENT,A,3700,5.66,0.05,N,5,0
TR71531977,42,64300,RENT,5.0,DEBTCONSOLIDATION,B,3900,9.08,0.06,N,17,0
TR87346302,41,101100,MORTGAGE,5.0,PERSONAL,C,6000,12.57,0.06,Y,16,0
TR73049742,51,33200,MORTGAGE,4.0,PERSONAL,B,7800,11.29,0.23,N,21,0
TR10398359,34,40500,MORTGAGE,12.0,PERSONAL,B,2600,10.52,0.06,N,17,0
TR17520670,35,63400,MORTGAGE,6.0,VENTURE,C,10500,13.49,0.17,N,10,0
TR24157971,28,61600,MORTGAGE,8.0,MEDICAL,C,4700,14.3,0.08,N,5,0
TR69785660,27,103200,MORTGAGE,12.0,EDUCATION,D,16800,15.9,0.16,Y,7,0
TR42343730,28,53100,RENT,4.0,EDUCATION,B,10300,10.83,0.19,N,10,0
TR69615183,29,89100,MORTGAGE,2.0,PERSONAL,A,7600,7.34,0.09,N,8,0
TR36454714,24,29000,RENT,2.0,MEDICAL,C,1900,15.11,0.07,Y,2,1
TR44631899,31,83700,MORTGAGE,0.0,DEBTCONSOLIDATION,A,4200,7.22,0.05,N,6,0
TR74593250,36,35700,RENT,5.0,DEBTCONSOLIDATION,B,3700,12.15,0.1,N,4,0
TR71670176,20,72000,MORTGAGE,7.0,EDUCATION,A,3000,5.67,0.04,N,3,0
TR57399291,23,34700,RENT,2.0,VENTURE,B,2000,11.68,0.06,N,5,0
TR19431788,20,39200,OWN,4.0,PERSONAL,A,12600,7.37,0.32,N,5,0
TR60600477,26,34500,RENT,2.0,PERSONAL,A,7600,7.7,0.22,N,4,0
TR63362740,22,46900,RENT,7.0,MEDICAL,B,12700,11.58,0.27,N,3,0
TR86238925,23,50400,MORTGAGE,5.0,EDUCATION,B,11400,11.87,0.23,N,5,0
TR62902551,24,47700,RENT,1.0,MEDICAL,A,7000,7.32,0.15,N,2,0
TR81936842,24,84400,MORTGAGE,9.0,PERSONAL,A,3800,6.69,0.05,N,3,0
TR18428897,24,52500,RENT,1.0,DEBTCONSOLIDATION,C,8200,13.02,0.16,N,3,0
TR99752252,28,113200,MORTGAGE,6.0,MEDICAL,B,6000,11.34,0.05,N,5,0
TR63528701,33,223200,MORTGAGE,15.0,EDUCATION,B,8100,11.43,0.04,N,7,0
TR64490903,24,40100,RENT,5.0,EDUCATION,A,10500,7.45,0.26,N,1,0
TR48926995,22,112700,MORTGAGE,6.0,MEDICAL,C,17300,12.63,0.15,N,2,0
TR65095390,23,80500,RENT,4.0,MEDICAL,C,16000,13.77,0.2,Y,2,0
TR61164201,23,106000,MORTGAGE,4.0,EDUCATION,A,7000,8.62,0.07,N,5,0
TR50560105,26,95700,RENT,2.0,DEBTCONSOLIDATION,A,20200,6.65,0.21,N,4,0
TR45181854,31,56400,RENT,1.0,MEDICAL,B,6600,11.18,0.12,N,6,0
TR20966949,31,37300,RENT,2.0,DEBTCONSOLIDATION,D,5000,14.45,0.13,N,9,1
TR93863827,25,47800,MORTGAGE,5.0,HOMEIMPROVEMENT,C,3400,13.41,0.07,Y,3,0
TR56703061,40,98400,MORTGAGE,2.0,PERSONAL,E,18300,15.99,0.19,Y,16,0
TR14128404,24,112500,MORTGAGE,8.0,EDUCATION,B,10500,9.8,0.09,N,2,0
TR82812093,24,45500,MORTGAGE,5.0,PERSONAL,D,5000,14.73,0.11,N,2,1
TR14025351,27,46500,MORTGAGE,7.0,HOMEIMPROVEMENT,A,3700,5.42,0.08,N,6,0
TR18733868,27,32100,MORTGAGE,0.0,DEBTCONSOLIDATION,B,8800,11.47,0.27,N,9,0
TR25134436,29,46000,MORTGAGE,3.0,MEDICAL,A,3000,7.24,0.07,N,9,0
TR26247448,35,28100,RENT,20.0,MEDICAL,B,2200,11.75,0.08,N,16,0
TR30434544,26,33100,RENT,11.0,VENTURE,A,13300,7.62,0.4,N,9,1
TR54982537,26,147200,OWN,2.0,VENTURE,B,14000,12.89,0.1,N,2,0
TR66949697,22,75600,OWN,3.0,PERSONAL,B,6900,10.26,0.09,N,2,0
TR62681629,24,33100,MORTGAGE,10.0,MEDICAL,B,1400,12.54,0.04,N,4,0
TR68170796,29,95500,MORTGAGE,11.0,HOMEIMPROVEMENT,B,12100,10.47,0.13,N,6,0
TR12809359,25,47700,RENT,9.0,EDUCATION,A,7600,7.45,0.16,N,2,0
TR52515448,26,14300,RENT,2.0,DEBTCONSOLIDATION,C,1700,12.38,0.12,N,3,0
TR38851191,26,98300,MORTGAGE,13.0,DEBTCONSOLIDATION,C,15800,13.67,0.16,Y,11,0
TR67428044,25,182400,MORTGAGE,2.0,PERSONAL,C,16000,13.54,0.09,N,6,0
TR68122130,33,81200,RENT,15.0,EDUCATION,B,18800,10.62,0.23,N,5,0
TR20555753,20,31900,RENT,7.0,DEBTCONSOLIDATION,C,10400,11.74,0.33,Y,2,1
TR18550175,20,61000,RENT,0.0,EDUCATION,C,4900,13.37,0.08,Y,5,0
TR69419964,37,29500,RENT,0.0,MEDICAL,A,8600,7.39,0.29,N,16,0
TR53183463,38,40800,RENT,1.0,PERSONAL,B,6800,11.21,0.17,N,13,0
TR56750716,22,56000,RENT,6.0,DEBTCONSOLIDATION,C,10400,14.18,0.19,Y,3,0
TR63364405,25,52500,MORTGAGE,4.0,HOMEIMPROVEMENT,A,10500,9.81,0.2,N,2,0
TR58779673,47,53000,RENT,7.0,VENTURE,B,3200,9.94,0.06,N,14,0
TR31876504,29,68300,RENT,5.0,PERSONAL,B,6000,11.39,0.09,N,8,0
TR21571728,22,75000,MORTGAGE,0.0,MEDICAL,A,15100,8.63,0.2,N,5,0
TR26696719,26,42600,MORTGAGE,11.0,DEBTCONSOLIDATION,C,4000,12.95,0.09,Y,3,0
TR92057824,20,127300,RENT,2.0,EDUCATION,A,19100,7.84,0.15,N,3,0
TR44359834,40,35300,MORTGAGE,5.0,MEDICAL,A,4500,8.79,0.13,N,4,0
TR63029991,26,98200,MORTGAGE,2.0,MEDICAL,D,24000,15.26,0.24,Y,1,1
TR36805444,27,74800,RENT,9.0,MEDICAL,A,13200,8.63,0.18,N,10,0
TR66701692,35,141400,OWN,3.0,VENTURE,B,24600,12.08,0.17,N,5,0
TR49665698,30,31200,RENT,13.0,PERSONAL,C,1700,14.08,0.05,Y,11,0
TR90265288,26,115800,MORTGAGE,1.0,HOMEIMPROVEMENT,C,11800,13.43,0.1,N,7,0
TR98383877,25,29200,RENT,7.0,MEDICAL,D,6000,14.97,0.21,Y,4,1
TR42128964,23,64700,MORTGAGE,5.0,MEDICAL,A,7100,8.14,0.11,N,3,0
TR33633835,22,24100,RENT,5.0,VENTURE,C,10100,13.66,0.42,Y,3,1
TR55973160,37,48500,RENT,3.0,DEBTCONSOLIDATION,B,15600,10.21,0.32,N,15,1
TR68091361,36,58200,MORTGAGE,5.0,HOMEIMPROVEMENT,A,4800,8.33,0.08,N,12,0
TR26843348,30,52600,MORTGAGE,4.0,HOMEIMPROVEMENT,B,7800,11.98,0.15,N,9,0
TR98771105,21,30400,OWN,2.0,VENTURE,C,8400,12.7,0.28,N,4,0
TR62712351,24,33600,RENT,0.0,HOMEIMPROVEMENT,D,2500,17.06,0.07,N,2,1
TR15034833,24,64800,MORTGAGE,7.0,VENTURE,C,5700,14.07,0.09,Y,1,0
TR16521904,24,37700,RENT,0.0,EDUCATION,B,15300,10.99,0.41,N,3,1
TR88112829,27,89600,RENT,4.0,PERSONAL,C,20000,15.6,0.22,N,8,0
TR78277211,33,68100,MORTGAGE,3.0,DEBTCONSOLIDATION,B,4000,10.88,0.06,N,5,0
TR10456769,26,49200,RENT,10.0,MEDICAL,C,5000,12.85,0.1,Y,8,0
TR34230508,29,80000,RENT,3.0,HOMEIMPROVEMENT,C,20500,13.22,0.26,Y,10,0
TR98729716,53,69500,RENT,1.0,MEDICAL,A,6200,8.87,0.09,N,27,0
TR42792321,22,164600,MORTGAGE,6.0,EDUCATION,A,9600,7.38,0.06,N,4,0
TR18549220,24,67100,RENT,0.0,DEBTCONSOLIDATION,C,8000,12.82,0.12,N,2,0
TR82539613,32,34300,OWN,17.0,VENTURE,A,3600,6.67,0.1,N,9,0
TR86092621,23,62800,MORTGAGE,1.0,DEBTCONSOLIDATION,D,8200,16.4,0.13,Y,3,1
TR82770803,29,40600,MORTGAGE,10.0,HOMEIMPROVEMENT,A,10100,6.64,0.25,N,6,0
TR46286710,26,64100,MORTGAGE,6.0,MEDICAL,C,9800,13.25,0.15,Y,3,0
TR41643899,27,59000,RENT,3.0,VENTURE,A,9100,5.81,0.15,N,3,0
TR39391836,28,81100,MORTGAGE,9.0,VENTURE,B,2700,10.04,0.03,N,3,0
TR15227624,27,77000,RENT,0.0,HOMEIMPROVEMENT,B,17500,10.93,0.23,N,6,0
TR64078310,26,48200,RENT,4.0,DEBTCONSOLIDATION,B,5700,9.83,0.12,N,5,0
TR61265374,24,55700,RENT,3.0,VENTURE,B,900,9.92,0.02,N,1,0
TR36730330,26,40600,MORTGAGE,10.0,VENTURE,A,9700,9.55,0.24,N,8,0
TR52565835,28,61800,RENT,2.0,VENTURE,C,8100,10.28,0.13,N,6,0
TR35884553,25,59100,MORTGAGE,1.0,VENTURE,D,6100,17.54,0.1,Y,1,0
TR76224694,20,47100,RENT,1.0,EDUCATION,A,7400,7.61,0.16,N,3,0
TR73352574,26,24700,RENT,0.0,MEDICAL,C,8400,12.83,0.34,N,3,1
TR44439001,25,45900,MORTGAGE,9.0,EDUCATION,A,6700,7.25,0.15,N,4,0
TR16843906,29,114300,MORTGAGE,2.0,DEBTCONSOLIDATION,A,3700,6.96,0.03,N,9,0
TR99336907,25,49100,RENT,0.0,DEBTCONSOLIDATION,C,8300,14.03,0.17,N,8,0
TR43425065,61,41600,RENT,3.0,MEDICAL,D,5000,16.11,0.12,N,27,1
TR22910144,28,65200,MORTGAGE,7.0,PERSONAL,B,18300,10.14,0.28,N,9,0
TR42880366,22,98000,RENT,1.0,HOMEIMPROVEMENT,E,2900,19.19,0.03,Y,4,1
TR79440456,22,41000,RENT,1.0,MEDICAL,C,4000,13.63,0.1,N,4,0
TR45842758,41,75100,RENT,0.0,MEDICAL,C,20900,13.93,0.28,Y,12,0
TR18164348,23,69300,RENT,0.0,MEDICAL,E,18400,17.47,0.27,Y,4,1
TR81539630,28,77700,MORTGAGE,0.0,MEDICAL,A,5600,7.73,0.07,N,9,0
TR74121264,32,94600,RENT,1.0,EDUCATION,C,5300,13.38,0.06,N,10,0
TR74757561,39,94400,MORTGAGE,5.0,EDUCATION,A,18000,7.16,0.19,N,15,0
TR58645692,24,109100,RENT,7.0,HOMEIMPROVEMENT,B,9500,11.05,0.09,N,1,0
TR18173177,29,41100,RENT,2.0,VENTURE,C,9500,13.59,0.23,N,6,0
TR20126937,39,75900,OWN,9.0,VENTURE,A,3300,6.8,0.04,N,15,0
TR69969466,28,63000,MORTGAGE,14.0,VENTURE,B,13900,10.97,0.22,N,9,0
TR85387582,21,36200,RENT,2.0,VENTURE,B,8600,12.31,0.24,N,4,0
TR24622537,35,81000,RENT,0.0,EDUCATION,A,7100,9.55,0.09,N,14,0
TR24788233,27,45400,RENT,6.0,MEDICAL,B,2900,11.94,0.06,N,2,0
TR98663306,25,30300,RENT,0.0,VENTURE,B,4300,10.94,0.14,N,5,0
TR98714319,37,75300,RENT,3.0,PERSONAL,A,7900,5.86,0.1,N,10,0
TR80495957,20,45700,RENT,2.0,PERSONAL,D,10200,16.65,0.22,Y,4,0
TR75915865,26,37300,RENT,2.0,DEBTCONSOLIDATION,A,10100,8.28,0.27,N,4,0
TR67123064,25,54800,RENT,1.0,PERSONAL,C,12000,14.1,0.22,Y,2,0
TR77673306,28,47200,MORTGAGE,4.0,VENTURE,A,6100,7.21,0.13,N,7,0
TR76899772,26,51800,RENT,1.0,VENTURE,C,8300,14.06,0.16,N,7,0
TR56869284,32,148400,RENT,0.0,DEBTCONSOLIDATION,B,23600,10.52,0.16,N,10,0
TR27339743,23,42200,RENT,6.0,MEDICAL,D,11500,14.39,0.27,Y,3,1
TR87264831,23,81500,MORTGAGE,3.0,VENTURE,C,19600,11.34,0.24,Y,4,0
TR63282984,21,22400,RENT,3.0,DEBTCONSOLIDATION,D,9800,15.31,0.44,N,3,1
TR42401155,24,99900,MORTGAGE,0.0,EDUCATION,A,15700,7.9,0.16,N,2,0
TR59967381,27,67300,RENT,3.0,VENTURE,C,10400,13.34,0.15,N,4,0
TR20537227,26,51200,MORTGAGE,4.0,VENTURE,B,2900,11.65,0.06,N,4,0
TR13946864,25,91100,MORTGAGE,8.0,PERSONAL,C,36000,12.87,0.4,N,3,0
TR23722780,23,45400,RENT,3.0,MEDICAL,C,3100,12.69,0.07,Y,3,0
TR82001820,22,54200,RENT,3.0,EDUCATION,C,8400,13.33,0.15,Y,3,0
TR36020692,27,50200,RENT,0.0,VENTURE,C,7600,13.35,0.15,Y,7,0
TR58647145,31,41100,RENT,0.0,VENTURE,B,4700,10.6,0.11,N,9,0
TR47896004,29,127200,OWN,4.0,PERSONAL,C,8300,12.62,0.07,N,11,0
TR56981217,38,42200,RENT,2.0,EDUCATION,D,7200,14.88,0.17,Y,12,0
TR67905360,23,26600,RENT,1.0,HOMEIMPROVEMENT,B,9500,11.76,0.36,N,4,1
TR74503892,31,49500,MORTGAGE,7.0,PERSONAL,C,6300,13.15,0.13,N,7,0
TR21136502,27,141500,MORTGAGE,2.0,VENTURE,C,23900,13.53,0.17,N,9,0
TR21087892,26,59100,RENT,5.0,VENTURE,B,11500,10.7,0.19,N,4,0
TR87146582,25,83200,MORTGAGE,10.0,MEDICAL,B,14400,11.05,0.17,N,3,0
TR12636358,25,60600,MORTGAGE,8.0,MEDICAL,F,15500,18.36,0.26,Y,3,1
TR47675109,27,65400,RENT,4.0,DEBTCONSOLIDATION,C,20500,12.77,0.31,N,10,1
TR91912676,25,80100,MORTGAGE,9.0,EDUCATION,A,7600,7.6,0.09,N,5,0
TR36659213,37,144600,RENT,5.0,DEBTCONSOLIDATION,B,19700,10.94,0.14,N,15,0
TR84110994,33,48700,RENT,8.0,MEDICAL,C,15200,14.14,0.31,Y,9,0
TR26769429,33,75300,MORTGAGE,9.0,DEBTCONSOLIDATION,A,4900,8.07,0.07,N,6,0
TR31603954,55,36400,RENT,3.0,PERSONAL,C,5900,15.98,0.16,N,23,1
TR43475119,33,72500,MORTGAGE,4.0,PERSONAL,A,10600,8.19,0.15,N,6,0
TR62763183,23,35400,OWN,2.0,DEBTCONSOLIDATION,A,8300,7.01,0.23,N,3,0
TR30603990,34,82500,MORTGAGE,1.0,HOMEIMPROVEMENT,C,8000,12.94,0.1,Y,7,0
TR86475739,22,30100,MORTGAGE,2.0,EDUCATION,B,9400,10.12,0.31,N,4,0
TR50714362,28,57700,MORTGAGE,3.0,MEDICAL,B,15300,11.01,0.27,N,3,0
TR47994886,25,104400,RENT,7.0,VENTURE,D,4700,16.33,0.05,N,4,0
TR11292840,21,37300,RENT,0.0,PERSONAL,C,5000,13.98,0.13,Y,5,0
TR76199538,33,95400,RENT,1.0,PERSONAL,D,12200,14.93,0.13,N,2,0
TR16614355,23,77200,MORTGAGE,7.0,EDUCATION,A,9800,7.59,0.13,N,1,0
TR58946255,30,82800,RENT,1.0,VENTURE,B,2900,10.45,0.04,N,6,0
TR32449829,24,42300,MORTGAGE,7.0,DEBTCONSOLIDATION,A,5700,5.87,0.13,N,4,0
TR84608915,24,35400,MORTGAGE,3.0,EDUCATION,C,14400,12.73,0.41,N,1,0
TR78974862,29,61500,RENT,9.0,PERSONAL,C,27700,13.04,0.45,Y,10,1
TR78854043,22,75000,RENT,1.0,VENTURE,B,14000,12.56,0.19,N,1,0
TR39578708,39,59400,RENT,0.0,EDUCATION,C,15000,13.42,0.25,N,14,0
TR78095790,30,55900,MORTGAGE,3.0,DEBTCONSOLIDATION,A,8100,5.26,0.14,N,10,0
TR86302474,25,49800,RENT,4.0,EDUCATION,B,3800,12.76,0.08,N,2,0
TR28117503,26,69200,MORTGAGE,10.0,MEDICAL,A,7700,7.31,0.11,N,3,0
TR25568878,24,101400,MORTGAGE,1.0,MEDICAL,A,12700,6.16,0.13,N,4,0
TR65933332,30,81300,RENT,5.0,MEDICAL,B,7600,11.74,0.09,N,8,0
TR55597665,23,84200,MORTGAGE,1.0,PERSONAL,D,4700,14.99,0.06,Y,2,0
TR55949306,30,210800,MORTGAGE,2.0,EDUCATION,B,20300,10.38,0.1,N,7,0
TR90731769,23,36900,RENT,4.0,VENTURE,C,3000,16.19,0.08,N,3,1
TR45333483,23,50100,RENT,3.0,HOMEIMPROVEMENT,C,4900,12.48,0.1,N,3,0
TR80294405,24,39700,MORTGAGE,5.0,EDUCATION,D,1000,16.42,0.03,Y,5,0
TR70331078,25,47400,OWN,2.0,EDUCATION,A,3600,5.91,0.08,N,1,0
TR71312625,22,86500,MORTGAGE,9.0,EDUCATION,A,7800,7.61,0.09,N,4,0
TR59097155,32,85100,MORTGAGE,2.0,MEDICAL,A,9800,7.44,0.12,N,6,0
TR69088011,38,55500,MORTGAGE,15.0,HOMEIMPROVEMENT,C,5300,13.91,0.1,Y,15,1
TR30567879,47,28400,RENT,2.0,DEBTCONSOLIDATION,A,11800,7.78,0.42,N,18,1
TR89563696,24,58900,RENT,4.0,VENTURE,C,4900,12.88,0.08,N,5,0
TR97169626,25,46300,RENT,7.0,VENTURE,C,10200,15.16,0.22,N,3,1
TR56433824,25,52800,MORTGAGE,5.0,DEBTCONSOLIDATION,A,6300,5.99,0.12,N,2,0
TR96262840,21,50300,RENT,5.0,MEDICAL,B,12000,9.77,0.24,N,4,0
TR46696229,35,85500,MORTGAGE,2.0,VENTURE,B,3200,10.59,0.04,N,10,0
TR63157846,25,74900,MORTGAGE,8.0,DEBTCONSOLIDATION,B,4800,11.17,0.06,N,4,0
TR59229871,23,95700,MORTGAGE,9.0,MEDICAL,A,10000,7.53,0.1,N,3,0
TR70700362,33,62000,MORTGAGE,6.0,EDUCATION,E,6200,16.12,0.1,N,6,0
TR21523553,23,23900,RENT,2.0,VENTURE,C,3400,12.73,0.14,N,3,0
TR32028027,25,53200,MORTGAGE,2.0,EDUCATION,A,9400,7.82,0.18,N,1,0
TR52352734,25,28300,RENT,5.0,MEDICAL,A,5100,8.74,0.18,N,5,0
TR85528145,27,37100,RENT,8.0,DEBTCONSOLIDATION,B,3500,11.81,0.09,N,8,0
TR84737793,28,103600,MORTGAGE,3.0,DEBTCONSOLIDATION,B,25300,10.95,0.24,N,9,0
TR77247904,24,132100,RENT,6.0,VENTURE,C,19300,12.28,0.15,N,3,0
TR70824207,20,35200,RENT,4.0,EDUCATION,B,7200,11.61,0.2,N,4,0
TR54378769,27,48200,MORTGAGE,10.0,DEBTCONSOLIDATION,A,1200,7.87,0.02,N,1,0
TR49034302,22,105600,RENT,8.0,VENTURE,C,10600,13.56,0.1,N,1,0
TR95035743,26,65400,RENT,1.0,MEDICAL,C,9400,13.93,0.14,Y,8,0
TR80938206,30,46900,OWN,0.0,EDUCATION,A,15700,6.01,0.33,N,8,0
TR46542420,27,68100,MORTGAGE,1.0,VENTURE,A,14200,7.87,0.21,N,5,0
TR65073404,22,49000,RENT,6.0,VENTURE,B,1900,11.35,0.04,N,3,0
TR56412830,24,25200,RENT,0.0,DEBTCONSOLIDATION,B,7300,10.87,0.29,N,4,0
TR37268950,25,31500,RENT,6.0,EDUCATION,B,5000,8.91,0.16,N,4,0
TR48919308,21,73600,MORTGAGE,6.0,MEDICAL,C,9700,13.27,0.13,Y,3,0
TR17552223,37,152100,MORTGAGE,1.0,MEDICAL,A,13600,7.4,0.09,N,17,0
TR96394956,27,36500,RENT,10.0,PERSONAL,A,4800,6.76,0.13,N,6,0
TR15724036,27,102500,MORTGAGE,3.0,MEDICAL,B,11500,10.62,0.11,N,11,0
TR63322945,29,57200,RENT,2.0,PERSONAL,A,8800,8.6,0.15,N,7,0
TR28257171,29,50700,RENT,2.0,VENTURE,C,3100,13.78,0.06,Y,9,0
TR55378709,22,50700,MORTGAGE,2.0,DEBTCONSOLIDATION,C,8300,13.24,0.16,N,4,0
TR47333830,28,104600,MORTGAGE,4.0,DEBTCONSOLIDATION,B,12200,12.17,0.12,N,5,0
TR44762231,24,111500,RENT,6.0,EDUCATION,B,12400,11.91,0.11,N,3,0
TR56461127,25,95500,MORTGAGE,12.0,EDUCATION,A,12400,8.85,0.13,N,6,0
TR81287200,31,61900,RENT,2.0,EDUCATION,C,7300,14.09,0.12,N,9,1
TR55921188,23,52100,RENT,1.0,MEDICAL,A,6600,9.56,0.13,N,2,0
TR49131253,30,35900,RENT,5.0,DEBTCONSOLIDATION,B,5100,11.82,0.14,N,9,0
TR95723401,25,36700,MORTGAGE,3.0,EDUCATION,A,4800,8.82,0.13,N,2,0
TR46543088,25,65400,MORTGAGE,5.0,EDUCATION,D,1000,15.37,0.02,Y,2,1
TR19233939,21,68400,RENT,2.0,MEDICAL,A,7200,7.32,0.11,N,3,0
TR65555127,35,45900,RENT,15.0,MEDICAL,A,3000,7.06,0.07,N,11,0
TR11255029,31,30500,RENT,0.0,EDUCATION,C,7100,14.38,0.23,Y,8,0
TR94307987,23,28200,RENT,6.0,MEDICAL,C,6500,12.82,0.23,Y,5,0
TR79656637,26,112300,MORTGAGE,6.0,VENTURE,D,25400,15.65,0.23,Y,4,1
TR64538312,25,47100,RENT,4.0,VENTURE,A,9800,7.74,0.21,N,2,0
TR92981174,25,52000,RENT,4.0,EDUCATION,B,15500,11.53,0.3,N,3,0
TR49581159,39,116600,MORTGAGE,6.0,PERSONAL,B,9400,11.08,0.08,N,12,0
TR88708014,21,45300,OWN,2.0,VENTURE,C,15500,12.48,0.34,N,5,0
TR75171611,34,25500,RENT,2.0,PERSONAL,D,10000,14.25,0.39,Y,18,1
